event_id,customer_id,event_month,event_date,event_type,mrr_delta,mrr_after_event
A-05d3b3-2024-08,A-05d3b3,2024-08,2024-08-31,expansion,897.0,8658.0
A-05d3b3-2024-09,A-05d3b3,2024-09,2024-09-30,contraction,-285.0,8373.0
A-05d3b3-2024-10,A-05d3b3,2024-10,2024-10-31,expansion,3781.0,12154.0
A-05f0e5-2023-06,A-05f0e5,2023-06,2023-06-30,new,8622.0,8622.0
A-05f0e5-2023-10,A-05f0e5,2023-10,2023-10-31,expansion,1216.0,9838.0
A-05f0e5-2024-02,A-05f0e5,2024-02,2024-02-29,expansion,1064.0,10902.0
A-05f0e5-2024-04,A-05f0e5,2024-04,2024-04-30,expansion,6368.0,17270.0
A-05f0e5-2024-05,A-05f0e5,2024-05,2024-05-31,expansion,1568.0,18838.0
A-05f0e5-2024-06,A-05f0e5,2024-06,2024-06-30,expansion,18308.0,37146.0
A-05f0e5-2024-07,A-05f0e5,2024-07,2024-07-31,expansion,6368.0,43514.0
A-05f0e5-2024-08,A-05f0e5,2024-08,2024-08-31,expansion,1568.0,45082.0
A-05f0e5-2024-10,A-05f0e5,2024-10,2024-10-31,expansion,3185.0,48267.0
A-05f0e5-2024-11,A-05f0e5,2024-11,2024-11-30,expansion,2842.0,51109.0
A-0651a4-2024-10,A-0651a4,2024-10,2024-10-31,new,11940.0,11940.0
A-0651a4-2024-11,A-0651a4,2024-11,2024-11-30,expansion,11354.0,23294.0
A-0651a4-2024-12,A-0651a4,2024-12,2024-12-31,expansion,21270.0,44564.0
A-068fc6-2023-10,A-068fc6,2023-10,2023-10-31,new,1715.0,1715.0
A-068fc6-2024-03,A-068fc6,2024-03,2024-03-31,expansion,665.0,2380.0
A-068fc6-2024-04,A-068fc6,2024-04,2024-04-30,expansion,6965.0,9345.0
A-068fc6-2024-07,A-068fc6,2024-07,2024-07-31,expansion,10395.0,19740.0
A-068fc6-2024-10,A-068fc6,2024-10,2024-10-31,expansion,665.0,20405.0
A-068fc6-2024-12,A-068fc6,2024-12,2024-12-31,expansion,8680.0,29085.0
A-075038-2023-07,A-075038,2023-07,2023-07-31,new,5047.0,5047.0
A-075038-2023-11,A-075038,2023-11,2023-11-30,expansion,833.0,5880.0
A-075038-2024-01,A-075038,2024-01,2024-01-31,expansion,2773.0,8653.0
A-075038-2024-02,A-075038,2024-02,2024-02-29,expansion,833.0,9486.0
A-075038-2024-04,A-075038,2024-04,2024-04-30,expansion,323.0,9809.0
A-075038-2024-05,A-075038,2024-05,2024-05-31,expansion,703.0,10512.0
A-075038-2024-07,A-075038,2024-07,2024-07-31,expansion,4216.0,14728.0
A-075038-2024-08,A-075038,2024-08,2024-08-31,expansion,3383.0,18111.0
A-075038-2024-10,A-075038,2024-10,2024-10-31,expansion,798.0,18909.0
A-089363-2023-06,A-089363,2023-06,2023-06-30,new,98.0,98.0
A-089363-2023-11,A-089363,2023-11,2023-11-30,expansion,760.0,858.0
A-089363-2024-01,A-089363,2024-01,2024-01-31,expansion,2985.0,3843.0
A-089363-2024-06,A-089363,2024-06,2024-06-30,expansion,57.0,3900.0
A-089363-2024-07,A-089363,2024-07,2024-07-31,expansion,1274.0,5174.0
A-089363-2024-08,A-089363,2024-08,2024-08-31,expansion,1990.0,7164.0
A-089363-2024-10,A-089363,2024-10,2024-10-31,expansion,209.0,7373.0
A-089363-2024-11,A-089363,2024-11,2024-11-30,expansion,13731.0,21104.0
A-089363-2024-12,A-089363,2024-12,2024-12-31,contraction,-8557.0,12547.0
A-08e34e-2024-07,A-08e34e,2024-07,2024-07-31,new,686.0,686.0
A-08e34e-2024-08,A-08e34e,2024-08,2024-08-31,expansion,2149.0,2835.0
A-08e34e-2024-09,A-08e34e,2024-09,2024-09-30,expansion,7587.0,10422.0
A-08e34e-2024-11,A-08e34e,2024-11,2024-11-30,expansion,5771.0,16193.0
A-08e34e-2024-12,A-08e34e,2024-12,2024-12-31,expansion,5628.0,21821.0
A-09316c-2024-09,A-09316c,2024-09,2024-09-30,new,29190.0,29190.0
A-09316c-2024-11,A-09316c,2024-11,2024-11-30,expansion,11620.0,40810.0
A-09316c-2024-12,A-09316c,2024-12,2024-12-31,expansion,29190.0,70000.0
A-09540c-2024-04,A-09540c,2024-04,2024-04-30,new,1273.0,1273.0
A-09540c-2024-05,A-09540c,2024-05,2024-05-31,expansion,13333.0,14606.0
A-09540c-2024-08,A-09540c,2024-08,2024-08-31,expansion,2546.0,17152.0
A-09540c-2024-11,A-09540c,2024-11,2024-11-30,expansion,3283.0,20435.0
A-09540c-2024-12,A-09540c,2024-12,2024-12-31,expansion,2010.0,22445.0
A-098560-2023-12,A-098560,2023-12,2023-12-31,new,1715.0,1715.0
A-098560-2024-03,A-098560,2024-03,2024-03-31,expansion,588.0,2303.0
A-098560-2024-04,A-098560,2024-04,2024-04-30,expansion,1415.0,3718.0
A-098560-2024-07,A-098560,2024-07,2024-07-31,expansion,1148.0,4866.0
A-098560-2024-09,A-098560,2024-09,2024-09-30,expansion,5904.0,10770.0
A-098560-2024-10,A-098560,2024-10,2024-10-31,expansion,760.0,11530.0
A-098560-2024-11,A-098560,2024-11,2024-11-30,expansion,245.0,11775.0
A-0a282f-2024-08,A-0a282f,2024-08,2024-08-31,new,3781.0,3781.0
A-0a282f-2024-09,A-0a282f,2024-09,2024-09-30,expansion,1194.0,4975.0
A-0a282f-2024-10,A-0a282f,2024-10,2024-10-31,expansion,5548.0,10523.0
A-0a282f-2024-11,A-0a282f,2024-11,2024-11-30,expansion,49.0,10572.0
A-0a282f-2024-12,A-0a282f,2024-12,2024-12-31,expansion,3933.0,14505.0
A-0a62f5-2024-09,A-0a62f5,2024-09,2024-09-30,new,3184.0,3184.0
A-0a62f5-2024-10,A-0a62f5,2024-10,2024-10-31,expansion,784.0,3968.0
A-0a62f5-2024-12,A-0a62f5,2024-12,2024-12-31,expansion,893.0,4861.0
A-0aaf6e-2024-06,A-0aaf6e,2024-06,2024-06-30,new,1813.0,1813.0
A-0aaf6e-2024-08,A-0aaf6e,2024-08,2024-08-31,expansion,456.0,2269.0
A-0aaf6e-2024-11,A-0aaf6e,2024-11,2024-11-30,expansion,133.0,2402.0
A-0aaf6e-2024-12,A-0aaf6e,2024-12,2024-12-31,expansion,21682.0,24084.0
A-0b0d6d-2024-12,A-0b0d6d,2024-12,2024-12-31,new,30904.0,30904.0
A-0baac2-2024-06,A-0baac2,2024-06,2024-06-30,new,5771.0,5771.0
A-0baac2-2024-10,A-0baac2,2024-10,2024-10-31,expansion,1025.0,6796.0
A-0baac2-2024-12,A-0baac2,2024-12,2024-12-31,expansion,5933.0,12729.0
A-0be015-2024-10,A-0be015,2024-10,2024-10-31,new,361.0,361.0
A-0be015-2024-11,A-0be015,2024-11,2024-11-30,expansion,817.0,1178.0
A-0be015-2024-12,A-0be015,2024-12,2024-12-31,contraction,-361.0,817.0
A-0cc442-2024-08,A-0cc442,2024-08,2024-08-31,new,8955.0,8955.0
A-0cc442-2024-09,A-0cc442,2024-09,2024-09-30,expansion,22562.0,31517.0
A-0cc442-2024-10,A-0cc442,2024-10,2024-10-31,expansion,3553.0,35070.0
A-0cc442-2024-11,A-0cc442,2024-11,2024-11-30,expansion,16067.0,51137.0
A-0cc442-2024-12,A-0cc442,2024-12,2024-12-31,expansion,8955.0,60092.0
A-0dbdc6-2023-11,A-0dbdc6,2023-11,2023-11-30,new,570.0,570.0
A-0dbdc6-2024-03,A-0dbdc6,2024-03,2024-03-31,expansion,570.0,1140.0
A-0dbdc6-2024-04,A-0dbdc6,2024-04,2024-04-30,expansion,1470.0,2610.0
A-0dbdc6-2024-05,A-0dbdc6,2024-05,2024-05-31,expansion,9950.0,12560.0
A-0dbdc6-2024-07,A-0dbdc6,2024-07,2024-07-31,expansion,1470.0,14030.0
A-0dbdc6-2024-10,A-0dbdc6,2024-10,2024-10-31,expansion,11940.0,25970.0
A-0dbdc6-2024-12,A-0dbdc6,2024-12,2024-12-31,expansion,2303.0,28273.0
A-0e966d-2024-06,A-0e966d,2024-06,2024-06-30,new,4577.0,4577.0
A-0e966d-2024-09,A-0e966d,2024-09,2024-09-30,expansion,1055.0,5632.0
A-0e966d-2024-10,A-0e966d,2024-10,2024-10-31,expansion,3750.0,9382.0
A-0e966d-2024-11,A-0e966d,2024-11,2024-11-30,expansion,3063.0,12445.0
A-0e966d-2024-12,A-0e966d,2024-12,2024-12-31,contraction,-209.0,12236.0
A-0f3e88-2023-08,A-0f3e88,2023-08,2023-08-31,new,133.0,133.0
A-0f3e88-2023-09,A-0f3e88,2023-09,2023-09-30,expansion,456.0,589.0
A-0f3e88-2023-12,A-0f3e88,2023-12,2023-12-31,expansion,304.0,893.0
A-0f3e88-2024-01,A-0f3e88,2024-01,2024-01-31,expansion,1078.0,1971.0
A-0f3e88-2024-02,A-0f3e88,2024-02,2024-02-29,expansion,2189.0,4160.0
A-0f3e88-2024-04,A-0f3e88,2024-04,2024-04-30,expansion,266.0,4426.0
A-0f3e88-2024-06,A-0f3e88,2024-06,2024-06-30,expansion,323.0,4749.0
A-0f3e88-2024-10,A-0f3e88,2024-10,2024-10-31,expansion,209.0,4958.0
A-0f3e88-2024-11,A-0f3e88,2024-11,2024-11-30,expansion,323.0,5281.0
A-0f3e88-2024-12,A-0f3e88,2024-12,2024-12-31,expansion,343.0,5624.0
A-0f6450-2024-12,A-0f6450,2024-12,2024-12-31,new,23800.0,23800.0
A-0f7d77-2024-11,A-0f7d77,2024-11,2024-11-30,new,653.0,653.0
A-0f7d77-2024-12,A-0f7d77,2024-12,2024-12-31,expansion,1673.0,2326.0
A-104f1a-2024-09,A-104f1a,2024-09,2024-09-30,new,7987.0,7987.0
A-104f1a-2024-10,A-104f1a,2024-10,2024-10-31,expansion,1176.0,9163.0
A-104f1a-2024-11,A-104f1a,2024-11,2024-11-30,expansion,456.0,9619.0
A-104f1a-2024-12,A-104f1a,2024-12,2024-12-31,contraction,-3029.0,6590.0
A-10b8da-2023-05,A-10b8da,2023-05,2023-05-31,new,3383.0,3383.0
A-10b8da-2023-06,A-10b8da,2023-06,2023-06-30,expansion,266.0,3649.0
A-10b8da-2024-02,A-10b8da,2024-02,2024-02-29,contraction,-3383.0,266.0
A-10b8da-2024-05,A-10b8da,2024-05,2024-05-31,expansion,686.0,952.0
A-10b8da-2024-07,A-10b8da,2024-07,2024-07-31,expansion,2786.0,3738.0
A-10b8da-2024-09,A-10b8da,2024-09,2024-09-30,expansion,1666.0,5404.0
A-10b8f2-2023-04,A-10b8f2,2023-04,2023-04-30,new,893.0,893.0
A-10b8f2-2023-06,A-10b8f2,2023-06,2023-06-30,expansion,969.0,1862.0
A-10b8f2-2023-10,A-10b8f2,2023-10,2023-10-31,expansion,11999.0,13861.0
A-10b8f2-2024-01,A-10b8f2,2024-01,2024-01-31,expansion,893.0,14754.0
A-10b8f2-2024-03,A-10b8f2,2024-03,2024-03-31,expansion,2303.0,17057.0
A-10b8f2-2024-04,A-10b8f2,2024-04,2024-04-30,expansion,11310.0,28367.0
A-10b8f2-2024-12,A-10b8f2,2024-12,2024-12-31,expansion,2352.0,30719.0
A-117171-2024-10,A-117171,2024-10,2024-10-31,new,8955.0,8955.0
A-117171-2024-11,A-117171,2024-11,2024-11-30,expansion,855.0,9810.0
A-117171-2024-12,A-117171,2024-12,2024-12-31,expansion,2205.0,12015.0
A-118d55-2024-10,A-118d55,2024-10,2024-10-31,new,1592.0,1592.0
A-118d55-2024-11,A-118d55,2024-11,2024-11-30,expansion,10633.0,12225.0
A-118d55-2024-12,A-118d55,2024-12,2024-12-31,expansion,11694.0,23919.0
A-118f1c-2024-10,A-118f1c,2024-10,2024-10-31,new,6368.0,6368.0
A-118f1c-2024-11,A-118f1c,2024-11,2024-11-30,expansion,6368.0,12736.0
A-118f1c-2024-12,A-118f1c,2024-12,2024-12-31,expansion,39424.0,52160.0
A-13466a-2023-11,A-13466a,2023-11,2023-11-30,new,38.0,38.0
A-13466a-2024-02,A-13466a,2024-02,2024-02-29,expansion,7960.0,7998.0
A-13466a-2024-05,A-13466a,2024-05,2024-05-31,expansion,4378.0,12376.0
A-13466a-2024-07,A-13466a,2024-07,2024-07-31,contraction,-38.0,12338.0
A-13466a-2024-09,A-13466a,2024-09,2024-09-30,expansion,967.0,13305.0
A-13466a-2024-10,A-13466a,2024-10,2024-10-31,contraction,-4378.0,8927.0
A-13466a-2024-11,A-13466a,2024-11,2024-11-30,contraction,-7960.0,967.0
A-139c3b-2024-11,A-139c3b,2024-11,2024-11-30,new,2756.0,2756.0
A-139c3b-2024-12,A-139c3b,2024-12,2024-12-31,expansion,6271.0,9027.0
A-149a69-2024-12,A-149a69,2024-12,2024-12-31,new,8058.0,8058.0
A-151c9a-2023-05,A-151c9a,2023-05,2023-05-31,new,1127.0,1127.0
A-151c9a-2023-07,A-151c9a,2023-07,2023-07-31,expansion,1421.0,2548.0
A-151c9a-2024-02,A-151c9a,2024-02,2024-02-29,expansion,4577.0,7125.0
A-151c9a-2024-06,A-151c9a,2024-06,2024-06-30,expansion,7125.0,14250.0
A-157070-2023-12,A-157070,2023-12,2023-12-31,new,323.0,323.0
A-157070-2024-01,A-157070,2024-01,2024-01-31,expansion,3184.0,3507.0
A-157070-2024-02,A-157070,2024-02,2024-02-29,expansion,1205.0,4712.0
A-157070-2024-03,A-157070,2024-03,2024-03-31,expansion,6965.0,11677.0
A-157070-2024-05,A-157070,2024-05,2024-05-31,expansion,190.0,11867.0
A-157070-2024-07,A-157070,2024-07,2024-07-31,expansion,1666.0,13533.0
A-157070-2024-08,A-157070,2024-08,2024-08-31,expansion,3184.0,16717.0
A-157070-2024-09,A-157070,2024-09,2024-09-30,expansion,1983.0,18700.0
A-157070-2024-10,A-157070,2024-10,2024-10-31,expansion,4577.0,23277.0
A-157070-2024-11,A-157070,2024-11,2024-11-30,contraction,-882.0,22395.0
A-157070-2024-12,A-157070,2024-12,2024-12-31,expansion,3906.0,26301.0
A-158f4e-2023-06,A-158f4e,2023-06,2023-06-30,new,2318.0,2318.0
A-158f4e-2023-09,A-158f4e,2023-09,2023-09-30,expansion,2989.0,5307.0
A-158f4e-2023-10,A-158f4e,2023-10,2023-10-31,expansion,2989.0,8296.0
A-158f4e-2023-11,A-158f4e,2023-11,2023-11-30,expansion,1159.0,9455.0
A-158f4e-2023-12,A-158f4e,2023-12,2023-12-31,expansion,2989.0,12444.0
A-158f4e-2024-02,A-158f4e,2024-02,2024-02-29,expansion,2989.0,15433.0
A-158f4e-2024-03,A-158f4e,2024-03,2024-03-31,expansion,12139.0,27572.0
A-158f4e-2024-06,A-158f4e,2024-06,2024-06-30,contraction,-1159.0,26413.0
A-158f4e-2024-09,A-158f4e,2024-09,2024-09-30,expansion,1159.0,27572.0
A-158f4e-2024-11,A-158f4e,2024-11,2024-11-30,expansion,15128.0,42700.0
A-1619f8-2024-06,A-1619f8,2024-06,2024-06-30,new,10945.0,10945.0
A-1619f8-2024-07,A-1619f8,2024-07,2024-07-31,expansion,551.0,11496.0
A-1619f8-2024-11,A-1619f8,2024-11,2024-11-30,expansion,8294.0,19790.0
A-17939a-2024-12,A-17939a,2024-12,2024-12-31,new,9669.0,9669.0
A-180abf-2023-09,A-180abf,2023-09,2023-09-30,new,12736.0,12736.0
A-180abf-2023-12,A-180abf,2023-12,2023-12-31,churn,-12736.0,0.0
A-180abf-2024-02,A-180abf,2024-02,2024-02-29,new,3136.0,3136.0
A-180abf-2024-04,A-180abf,2024-04,2024-04-30,expansion,12736.0,15872.0
A-180abf-2024-07,A-180abf,2024-07,2024-07-31,expansion,1216.0,17088.0
A-180abf-2024-11,A-180abf,2024-11,2024-11-30,expansion,1216.0,18304.0
A-180abf-2024-12,A-180abf,2024-12,2024-12-31,expansion,6272.0,24576.0
A-186a44-2023-08,A-186a44,2023-08,2023-08-31,new,380.0,380.0
A-186a44-2023-11,A-186a44,2023-11,2023-11-30,expansion,980.0,1360.0
A-186a44-2024-03,A-186a44,2024-03,2024-03-31,expansion,380.0,1740.0
A-186a44-2024-07,A-186a44,2024-07,2024-07-31,expansion,380.0,2120.0
A-186a44-2024-08,A-186a44,2024-08,2024-08-31,expansion,5156.0,7276.0
A-186a44-2024-11,A-186a44,2024-11,2024-11-30,expansion,9353.0,16629.0
A-186a44-2024-12,A-186a44,2024-12,2024-12-31,expansion,4360.0,20989.0
A-18793f-2024-12,A-18793f,2024-12,2024-12-31,new,78588.0,78588.0
A-1986ca-2023-07,A-1986ca,2023-07,2023-07-31,new,3980.0,3980.0
A-1986ca-2024-01,A-1986ca,2024-01,2024-01-31,expansion,3980.0,7960.0
A-1986ca-2024-05,A-1986ca,2024-05,2024-05-31,expansion,6169.0,14129.0
A-1986ca-2024-09,A-1986ca,2024-09,2024-09-30,expansion,13532.0,27661.0
A-19b2c8-2023-06,A-19b2c8,2023-06,2023-06-30,new,1617.0,1617.0
A-19b2c8-2023-07,A-19b2c8,2023-07,2023-07-31,expansion,1360.0,2977.0
A-19b2c8-2023-08,A-19b2c8,2023-08,2023-08-31,expansion,798.0,3775.0
A-19b2c8-2023-11,A-19b2c8,2023-11,2023-11-30,expansion,3980.0,7755.0
A-19b2c8-2024-01,A-19b2c8,2024-01,2024-01-31,expansion,3980.0,11735.0
A-19b2c8-2024-02,A-19b2c8,2024-02,2024-02-29,expansion,3980.0,15715.0
A-19b2c8-2024-05,A-19b2c8,2024-05,2024-05-31,expansion,980.0,16695.0
A-19b2c8-2024-07,A-19b2c8,2024-07,2024-07-31,expansion,6028.0,22723.0
A-19b2c8-2024-10,A-19b2c8,2024-10,2024-10-31,expansion,3980.0,26703.0
A-1ac5e0-2024-10,A-1ac5e0,2024-10,2024-10-31,new,627.0,627.0
A-1ac5e0-2024-11,A-1ac5e0,2024-11,2024-11-30,expansion,17622.0,18249.0
A-1b707d-2023-11,A-1b707d,2023-11,2023-11-30,new,3527.0,3527.0
A-1b707d-2024-01,A-1b707d,2024-01,2024-01-31,expansion,637.0,4164.0
A-1b707d-2024-04,A-1b707d,2024-04,2024-04-30,expansion,3781.0,7945.0
A-1b707d-2024-05,A-1b707d,2024-05,2024-05-31,expansion,152.0,8097.0
A-1b707d-2024-08,A-1b707d,2024-08,2024-08-31,contraction,-152.0,7945.0
A-1b707d-2024-10,A-1b707d,2024-10,2024-10-31,expansion,779.0,8724.0
A-1b707d-2024-11,A-1b707d,2024-11,2024-11-30,expansion,456.0,9180.0
A-1b7577-2024-10,A-1b7577,2024-10,2024-10-31,new,1791.0,1791.0
A-1b7577-2024-11,A-1b7577,2024-11,2024-11-30,expansion,2852.0,4643.0
A-1b7577-2024-12,A-1b7577,2024-12,2024-12-31,expansion,3938.0,8581.0
A-1b9609-2023-12,A-1b9609,2023-12,2023-12-31,new,930.0,930.0
A-1b9609-2024-01,A-1b9609,2024-01,2024-01-31,expansion,1299.0,2229.0
A-1b9609-2024-02,A-1b9609,2024-02,2024-02-29,expansion,931.0,3160.0
A-1b9609-2024-05,A-1b9609,2024-05,2024-05-31,expansion,196.0,3356.0
A-1b9609-2024-06,A-1b9609,2024-06,2024-06-30,expansion,6965.0,10321.0
A-1b9609-2024-08,A-1b9609,2024-08,2024-08-31,expansion,6166.0,16487.0
A-1b9609-2024-09,A-1b9609,2024-09,2024-09-30,expansion,127.0,16614.0
A-1d5444-2024-03,A-1d5444,2024-03,2024-03-31,new,456.0,456.0
A-1d5444-2024-04,A-1d5444,2024-04,2024-04-30,expansion,6144.0,6600.0
A-1d5444-2024-05,A-1d5444,2024-05,2024-05-31,expansion,12935.0,19535.0
A-1d5444-2024-07,A-1d5444,2024-07,2024-07-31,expansion,2088.0,21623.0
A-1d5444-2024-08,A-1d5444,2024-08,2024-08-31,expansion,8159.0,29782.0
A-1d5444-2024-11,A-1d5444,2024-11,2024-11-30,expansion,1176.0,30958.0
A-1e1b80-2023-10,A-1e1b80,2023-10,2023-10-31,new,950.0,950.0
A-1e1b80-2023-11,A-1e1b80,2023-11,2023-11-30,expansion,9950.0,10900.0
A-1e1b80-2023-12,A-1e1b80,2023-12,2023-12-31,expansion,13497.0,24397.0
A-1e1b80-2024-03,A-1e1b80,2024-03,2024-03-31,expansion,9950.0,34347.0
A-1e1b80-2024-04,A-1e1b80,2024-04,2024-04-30,expansion,950.0,35297.0
A-1e1b80-2024-07,A-1e1b80,2024-07,2024-07-31,expansion,12400.0,47697.0
A-1e1b80-2024-11,A-1e1b80,2024-11,2024-11-30,expansion,950.0,48647.0
A-1e50e0-2023-03,A-1e50e0,2023-03,2023-03-31,new,3781.0,3781.0
A-1e50e0-2024-03,A-1e50e0,2024-03,2024-03-31,expansion,4802.0,8583.0
A-1e50e0-2024-05,A-1e50e0,2024-05,2024-05-31,expansion,931.0,9514.0
A-1e50e0-2024-09,A-1e50e0,2024-09,2024-09-30,expansion,3781.0,13295.0
A-1e6fc3-2024-04,A-1e6fc3,2024-04,2024-04-30,new,245.0,245.0
A-1e6fc3-2024-12,A-1e6fc3,2024-12,2024-12-31,expansion,199.0,444.0
A-1f0636-2024-04,A-1f0636,2024-04,2024-04-30,new,20895.0,20895.0
A-1f0636-2024-05,A-1f0636,2024-05,2024-05-31,expansion,20895.0,41790.0
A-1f0636-2024-06,A-1f0636,2024-06,2024-06-30,expansion,26040.0,67830.0
A-1f0636-2024-07,A-1f0636,2024-07,2024-07-31,expansion,1995.0,69825.0
