customer_id,customer_name,industry,country,signup_date,initial_plan,is_active
A-adc1f3,Company_98,Cybersecurity,US,2024-08-05,Pro,0
A-503d5a,Company_99,FinTech,US,2023-10-21,Enterprise,0
A-fd7ad3,Company_100,Cybersecurity,US,2024-11-01,Enterprise,0
A-186a44,Company_101,HealthTech,US,2023-08-07,Enterprise,0
A-e888d1,Company_102,Cybersecurity,US,2023-03-28,Pro,0
A-69fad4,Company_103,FinTech,UK,2023-04-06,Basic,0
A-9289f6,Company_104,EdTech,US,2023-05-31,Enterprise,0
A-f19409,Company_105,DevTools,US,2023-03-16,Basic,0
A-22f2df,Company_106,DevTools,US,2024-12-14,Basic,0
A-039727,Company_107,EdTech,AU,2024-11-02,Pro,0
A-2e3bad,Company_108,FinTech,CA,2023-08-13,Pro,0
A-484819,Company_109,HealthTech,US,2023-02-21,Pro,0
A-425e76,Company_110,DevTools,UK,2023-05-17,Enterprise,0
A-e83938,Company_111,DevTools,UK,2023-11-21,Pro,0
A-ad296b,Company_112,DevTools,AU,2024-07-15,Pro,0
A-e51ec7,Company_113,FinTech,CA,2023-09-23,Enterprise,0
A-0aaf6e,Company_114,FinTech,US,2024-05-11,Enterprise,0
A-e61e98,Company_115,FinTech,US,2023-10-20,Enterprise,0
A-92a333,Company_116,FinTech,US,2023-03-24,Enterprise,0
A-95b24a,Company_117,FinTech,US,2023-06-06,Pro,0
A-42e5e1,Company_118,DevTools,US,2024-07-09,Pro,0
A-7d514c,Company_119,HealthTech,DE,2024-02-03,Enterprise,0
A-65aeb5,Company_120,DevTools,US,2024-01-25,Pro,0
A-e2cd1b,Company_121,DevTools,US,2024-02-04,Enterprise,0
A-180abf,Company_122,DevTools,US,2023-08-14,Pro,0
A-f17767,Company_123,DevTools,US,2023-01-30,Enterprise,0
A-5a184f,Company_124,DevTools,DE,2023-06-19,Enterprise,0
A-7df7a7,Company_125,DevTools,US,2023-01-28,Basic,0
A-1ac5e0,Company_126,DevTools,US,2024-10-20,Basic,0
A-52dd88,Company_127,Cybersecurity,US,2023-02-21,Pro,0
A-bece89,Company_128,Cybersecurity,IN,2023-12-01,Pro,0
A-029f69,Company_129,Cybersecurity,CA,2024-03-07,Basic,0
A-5c046d,Company_130,EdTech,FR,2024-07-06,Basic,0
A-fb186e,Company_131,EdTech,IN,2024-10-27,Basic,0
A-ae052e,Company_132,FinTech,CA,2023-09-11,Basic,0
A-9f9299,Company_133,FinTech,US,2023-09-02,Enterprise,0
A-96e141,Company_134,DevTools,UK,2023-08-12,Basic,0
A-117171,Company_135,HealthTech,FR,2024-09-12,Basic,0
A-313be3,Company_136,EdTech,US,2023-11-15,Enterprise,0
A-671f31,Company_137,DevTools,US,2024-11-24,Basic,0
A-bbc346,Company_138,FinTech,US,2024-08-29,Enterprise,0
A-c16101,Company_139,EdTech,IN,2024-09-06,Basic,0
A-50f3f7,Company_140,HealthTech,US,2023-12-22,Basic,0
A-7da956,Company_141,Cybersecurity,US,2024-06-02,Pro,0
A-019782,Company_142,DevTools,FR,2023-04-19,Enterprise,0
A-df10db,Company_143,DevTools,US,2023-06-06,Enterprise,0
A-3932db,Company_144,HealthTech,CA,2023-10-04,Pro,0
A-4f18f0,Company_145,DevTools,CA,2024-04-21,Pro,0
A-4c6f11,Company_146,FinTech,CA,2023-11-27,Pro,0
A-8ae05d,Company_147,FinTech,IN,2024-04-06,Enterprise,0
A-b78bf8,Company_148,DevTools,US,2024-11-15,Pro,0
A-eafc6e,Company_149,DevTools,US,2023-07-06,Pro,0
A-37f969,Company_150,HealthTech,IN,2023-10-14,Enterprise,0
A-10b8f2,Company_151,HealthTech,DE,2023-01-11,Basic,0
A-439b2f,Company_152,DevTools,US,2024-02-21,Enterprise,0
A-544d0a,Company_153,DevTools,US,2024-05-02,Basic,0
A-ba6516,Company_154,FinTech,US,2023-10-29,Pro,0
A-712426,Company_155,HealthTech,US,2024-11-10,Enterprise,0
A-038089,Company_156,DevTools,FR,2023-12-19,Pro,0
A-afa505,Company_157,DevTools,US,2023-12-27,Basic,0
A-d5a319,Company_158,FinTech,US,2023-05-04,Enterprise,0
A-f97b9a,Company_159,FinTech,US,2023-07-09,Pro,0
A-2f6a32,Company_160,HealthTech,US,2024-08-26,Basic,0
A-856b1e,Company_161,FinTech,US,2023-10-31,Basic,0
A-17939a,Company_162,HealthTech,US,2024-12-26,Basic,0
A-d27f50,Company_163,Cybersecurity,UK,2024-07-20,Enterprise,0
A-e36807,Company_164,EdTech,AU,2024-05-17,Pro,0
A-ff79f2,Company_165,DevTools,US,2024-04-25,Basic,0
A-5b1bcd,Company_166,DevTools,US,2023-09-16,Pro,0
A-71615e,Company_167,EdTech,US,2024-05-18,Basic,0
A-794a0b,Company_168,HealthTech,DE,2023-06-02,Basic,0
A-86902e,Company_169,HealthTech,IN,2023-05-02,Enterprise,0
A-0532a9,Company_170,FinTech,IN,2024-09-25,Pro,0
A-9779ad,Company_171,Cybersecurity,AU,2024-03-29,Pro,0
A-f45426,Company_172,HealthTech,US,2024-08-05,Basic,0
A-c1e51e,Company_173,FinTech,US,2024-10-02,Basic,0
A-fa3095,Company_174,FinTech,US,2023-09-03,Basic,0
A-ad64c6,Company_175,DevTools,UK,2024-02-23,Pro,0
A-39b19f,Company_176,FinTech,US,2023-02-03,Enterprise,0
A-56962b,Company_177,EdTech,UK,2024-04-09,Enterprise,0
A-e60f9d,Company_178,FinTech,US,2024-08-26,Basic,0
A-88c6ca,Company_179,FinTech,DE,2024-10-25,Basic,0
A-158f4e,Company_180,FinTech,IN,2023-03-03,Enterprise,0
A-5b051a,Company_181,Cybersecurity,US,2024-08-05,Enterprise,0
A-296d7c,Company_182,DevTools,DE,2023-11-08,Enterprise,0
A-1619f8,Company_183,DevTools,US,2024-05-20,Pro,0
A-a1b80b,Company_184,HealthTech,US,2023-11-27,Basic,0
A-139c3b,Company_185,HealthTech,US,2024-11-21,Enterprise,0
A-702032,Company_186,HealthTech,US,2023-10-03,Pro,0
A-7a0d69,Company_187,DevTools,DE,2024-06-15,Enterprise,0
A-22d9d2,Company_188,DevTools,FR,2024-03-22,Pro,0
A-b9eed8,Company_189,Cybersecurity,US,2024-02-23,Basic,0
A-dfbd31,Company_190,DevTools,UK,2023-12-04,Enterprise,0
A-8e47ca,Company_191,HealthTech,US,2024-02-15,Pro,0
A-4437e4,Company_192,Cybersecurity,US,2023-09-16,Enterprise,0
A-779e4e,Company_193,HealthTech,US,2023-01-02,Basic,0
A-53f4e3,Company_194,Cybersecurity,UK,2024-06-14,Enterprise,0
A-692f18,Company_195,EdTech,US,2024-03-28,Basic,0
A-13466a,Company_196,DevTools,AU,2023-10-22,Basic,0
A-1986ca,Company_197,HealthTech,IN,2023-01-30,Pro,0
A-0cc442,Company_198,EdTech,US,2024-07-18,Basic,0
A-c608c8,Company_199,DevTools,DE,2023-04-27,Pro,0
A-3be56b,Company_200,HealthTech,IN,2023-10-26,Pro,0
A-354f12,Company_201,FinTech,US,2024-04-28,Pro,0
A-68f37c,Company_202,HealthTech,US,2023-07-15,Basic,0
A-aa9511,Company_203,DevTools,US,2023-10-10,Pro,0
A-af0cd2,Company_204,Cybersecurity,IN,2023-01-03,Enterprise,0
A-bd4513,Company_205,DevTools,AU,2024-11-06,Enterprise,0
A-c222ab,Company_206,Cybersecurity,US,2024-05-10,Pro,0
A-34d880,Company_207,Cybersecurity,AU,2024-04-11,Enterprise,0
A-508199,Company_208,FinTech,AU,2024-01-28,Basic,0
A-f03140,Company_209,DevTools,IN,2023-11-22,Pro,0
A-410e86,Company_210,FinTech,US,2024-11-10,Basic,0
A-fa2041,Company_211,HealthTech,US,2024-05-29,Pro,0
A-de58ca,Company_212,HealthTech,DE,2023-04-13,Enterprise,0
A-05d3b3,Company_213,DevTools,AU,2023-05-28,Basic,0
A-249769,Company_214,Cybersecurity,US,2024-04-25,Enterprise,0
A-e43bf7,Company_215,Cybersecurity,AU,2023-03-24,Pro,0
A-eb2fdc,Company_216,DevTools,AU,2023-11-21,Enterprise,0
A-e1462e,Company_217,FinTech,UK,2023-03-12,Basic,0
A-cab532,Company_218,DevTools,FR,2023-04-03,Pro,0
A-9123ac,Company_219,Cybersecurity,DE,2023-06-20,Pro,0
A-6e08f3,Company_220,Cybersecurity,US,2023-02-27,Basic,0
A-d922bf,Company_221,HealthTech,US,2023-09-08,Basic,0
A-8ed5dd,Company_222,EdTech,UK,2023-06-29,Enterprise,0
A-7c6b6b,Company_223,FinTech,US,2024-11-30,Basic,0
A-3c1a3f,Company_224,DevTools,UK,2023-08-26,Pro,0
A-b48f73,Company_225,EdTech,AU,2024-11-13,Pro,0
A-76fa4d,Company_226,HealthTech,US,2024-11-24,Pro,0
A-b2af2e,Company_227,Cybersecurity,UK,2024-08-24,Enterprise,0
A-9bfc9f,Company_228,DevTools,CA,2023-09-14,Pro,0
A-4ae22a,Company_229,EdTech,US,2024-05-09,Pro,0
A-fda07f,Company_230,Cybersecurity,FR,2024-08-11,Basic,0
A-de24d5,Company_231,DevTools,US,2024-11-05,Enterprise,0
A-977ca0,Company_232,HealthTech,IN,2023-02-20,Basic,0
A-ab438f,Company_233,Cybersecurity,US,2024-09-13,Enterprise,0
A-e89151,Company_234,FinTech,UK,2023-09-14,Pro,0
A-40906c,Company_235,EdTech,US,2024-03-27,Basic,0
A-81edc3,Company_236,Cybersecurity,IN,2023-10-30,Basic,0
A-328bd0,Company_237,HealthTech,AU,2023-05-16,Enterprise,0
A-b3fe05,Company_238,Cybersecurity,CA,2024-05-28,Pro,0
A-09540c,Company_239,Cybersecurity,CA,2023-10-30,Basic,0
A-e693b6,Company_240,FinTech,AU,2023-05-25,Enterprise,0
A-2446e3,Company_241,EdTech,IN,2024-01-10,Pro,0
A-241e75,Company_242,EdTech,US,2024-07-03,Enterprise,0
A-922109,Company_243,Cybersecurity,US,2024-01-26,Pro,0
A-ff3c73,Company_244,HealthTech,AU,2023-01-26,Pro,0
A-8b0451,Company_245,FinTech,UK,2024-09-16,Enterprise,0
A-331424,Company_246,DevTools,US,2023-11-06,Basic,0
A-51ec1b,Company_247,DevTools,US,2023-11-08,Enterprise,0
A-bcf664,Company_248,DevTools,US,2023-05-19,Pro,0
A-90a8c8,Company_249,FinTech,AU,2024-08-24,Pro,0
A-86cdb4,Company_250,DevTools,DE,2024-09-22,Basic,0
A-4bfa33,Company_251,Cybersecurity,US,2024-12-07,Basic,0
A-dbc825,Company_252,EdTech,FR,2024-01-07,Enterprise,0
A-c70870,Company_253,Cybersecurity,US,2024-10-22,Basic,0
A-7c4956,Company_254,DevTools,US,2023-05-06,Enterprise,0
A-0651a4,Company_255,HealthTech,FR,2024-10-16,Pro,0
A-3ce5b8,Company_256,FinTech,IN,2023-09-07,Basic,0
A-bd4708,Company_257,FinTech,US,2024-07-21,Pro,0
A-993085,Company_258,HealthTech,US,2023-06-01,Basic,0
A-92a3af,Company_259,Cybersecurity,IN,2024-07-07,Enterprise,0
A-151c9a,Company_260,FinTech,US,2023-01-27,Enterprise,0
A-474ad4,Company_261,EdTech,US,2023-11-28,Basic,0
A-4ef964,Company_262,HealthTech,US,2024-03-07,Pro,0
A-fd9422,Company_263,Cybersecurity,US,2024-04-04,Pro,0
A-0baac2,Company_264,FinTech,DE,2024-05-30,Enterprise,0
A-bb1486,Company_265,HealthTech,US,2024-11-05,Basic,0
A-560d27,Company_266,DevTools,US,2024-05-05,Pro,0
A-0b0d6d,Company_267,DevTools,US,2024-12-30,Pro,0
A-2789e3,Company_268,FinTech,US,2024-09-14,Enterprise,0
A-b07346,Company_269,HealthTech,US,2024-10-10,Pro,0
A-902ef7,Company_270,HealthTech,US,2024-09-03,Enterprise,0
A-20736a,Company_271,EdTech,IN,2024-03-16,Enterprise,0
A-e4bf56,Company_272,HealthTech,IN,2024-10-28,Pro,0
A-cea1f0,Company_273,FinTech,US,2024-04-07,Pro,0
A-ef84cf,Company_274,EdTech,US,2024-03-01,Enterprise,0
A-d49cc5,Company_275,Cybersecurity,FR,2023-09-19,Basic,0
A-67be94,Company_276,EdTech,US,2023-04-04,Enterprise,0
A-4e960a,Company_277,FinTech,US,2024-01-17,Enterprise,0
A-c37cab,Company_278,Cybersecurity,UK,2024-07-29,Pro,0
A-533452,Company_279,DevTools,AU,2024-11-12,Pro,0
A-443b7c,Company_280,Cybersecurity,US,2024-09-06,Enterprise,0
A-1f7acb,Company_281,FinTech,UK,2023-08-06,Basic,0
A-f51f16,Company_282,HealthTech,US,2023-12-25,Enterprise,0
A-5a3eb9,Company_283,DevTools,CA,2023-08-20,Enterprise,0
A-5f2961,Company_284,HealthTech,US,2024-11-22,Basic,0
A-417d2f,Company_285,Cybersecurity,IN,2023-07-04,Pro,0
A-e98302,Company_286,EdTech,US,2023-12-26,Enterprise,0
A-8bde0c,Company_287,DevTools,US,2024-11-04,Basic,0
A-bcf87c,Company_288,FinTech,US,2024-06-27,Pro,0
A-54ecc2,Company_289,Cybersecurity,US,2023-06-11,Enterprise,0
A-625d0b,Company_290,EdTech,AU,2024-09-02,Basic,0
A-fce879,Company_291,EdTech,UK,2024-09-24,Pro,0
A-b07b56,Company_292,DevTools,US,2024-11-08,Pro,0
A-6da850,Company_293,FinTech,IN,2023-10-07,Pro,0
A-342303,Company_294,EdTech,US,2024-03-16,Pro,0
A-e7a1e2,Company_295,Cybersecurity,US,2024-06-23,Enterprise,0
A-f1f639,Company_296,EdTech,US,2023-02-26,Basic,0
A-a865bd,Company_297,Cybersecurity,US,2023-09-19,Pro,0
A-4e631b,Company_298,FinTech,US,2024-03-16,Enterprise,0
A-7f6b86,Company_299,HealthTech,US,2023-08-24,Basic,0
A-8adedc,Company_300,EdTech,US,2024-02-11,Basic,0
A-2edab2,Company_301,HealthTech,US,2023-11-17,Enterprise,0
A-149a69,Company_302,DevTools,US,2024-10-17,Basic,0
A-a6d261,Company_303,FinTech,CA,2023-11-29,Pro,0
A-443f6f,Company_304,Cybersecurity,US,2024-12-07,Basic,0
A-202b67,Company_305,HealthTech,US,2024-03-22,Pro,0
A-00bed1,Company_306,Cybersecurity,US,2023-11-14,Basic,0
A-ffc04f,Company_307,EdTech,US,2024-06-06,Pro,0
A-65c341,Company_308,FinTech,US,2023-12-26,Pro,0
A-dcc2f0,Company_309,FinTech,UK,2023-07-22,Basic,0
A-ced9aa,Company_310,DevTools,US,2024-10-05,Enterprise,0
A-3d957b,Company_311,HealthTech,UK,2024-04-04,Pro,0
A-89ee83,Company_312,Cybersecurity,US,2024-10-04,Pro,0
A-883b7d,Company_313,Cybersecurity,IN,2024-03-28,Basic,0
A-dcc3f1,Company_314,HealthTech,US,2023-12-27,Pro,0
A-c62e55,Company_315,EdTech,US,2023-02-08,Basic,0
A-e4144b,Company_316,EdTech,UK,2024-10-22,Pro,0
A-e40f45,Company_317,HealthTech,US,2024-04-18,Pro,0
A-96215d,Company_318,FinTech,US,2024-08-08,Enterprise,0
A-2b9d3e,Company_319,EdTech,US,2023-06-04,Enterprise,0
A-b7724f,Company_320,HealthTech,UK,2023-03-28,Basic,0
A-310452,Company_321,DevTools,FR,2024-12-25,Enterprise,0
A-eb1312,Company_322,FinTech,US,2024-09-16,Pro,0
A-df1e44,Company_323,Cybersecurity,UK,2024-02-23,Enterprise,0
A-6a7c9d,Company_324,Cybersecurity,US,2024-10-24,Enterprise,0
A-cbd1a3,Company_325,DevTools,US,2024-11-25,Basic,0
A-a8d89d,Company_326,EdTech,US,2023-12-08,Pro,0
A-600734,Company_327,DevTools,US,2023-11-14,Pro,0
A-86fc1d,Company_328,DevTools,UK,2024-07-26,Basic,0
A-78f02b,Company_329,HealthTech,US,2024-11-17,Enterprise,0
A-acb7f7,Company_330,EdTech,US,2024-01-06,Basic,0
A-712f1c,Company_331,DevTools,US,2023-12-16,Basic,0
A-3793ee,Company_332,Cybersecurity,CA,2023-03-21,Enterprise,0
A-9a532a,Company_333,HealthTech,US,2024-07-06,Enterprise,0
A-2ebb4b,Company_334,HealthTech,US,2023-05-15,Basic,0
A-6843f2,Company_335,HealthTech,CA,2024-12-10,Enterprise,0
A-c9bb3e,Company_336,EdTech,US,2024-03-24,Pro,0
A-4814a3,Company_337,Cybersecurity,IN,2024-09-17,Basic,0
A-b7b7b7,Company_338,FinTech,US,2024-06-30,Basic,0
A-ccc747,Company_339,HealthTech,FR,2024-01-12,Pro,0
A-bb3bd4,Company_340,HealthTech,US,2024-01-27,Basic,0
A-09316c,Company_341,FinTech,AU,2024-09-11,Enterprise,0
A-96bbc6,Company_342,Cybersecurity,US,2024-05-07,Enterprise,0
A-bc4d48,Company_343,EdTech,US,2024-06-12,Pro,0
A-b30291,Company_344,HealthTech,US,2024-04-05,Basic,0
A-cdf020,Company_345,DevTools,AU,2023-08-16,Pro,0
A-e6afc1,Company_346,DevTools,US,2023-02-24,Pro,0
A-e3bd71,Company_347,Cybersecurity,US,2023-03-25,Basic,0
A-b179bf,Company_348,Cybersecurity,IN,2024-10-27,Basic,0
A-098560,Company_349,DevTools,UK,2023-10-21,Enterprise,0
A-82861f,Company_350,DevTools,UK,2024-04-25,Basic,0
A-94c3cd,Company_351,FinTech,CA,2023-09-20,Enterprise,0
A-a33200,Company_352,HealthTech,US,2024-09-15,Basic,0
A-034368,Company_353,EdTech,US,2023-11-05,Enterprise,0
A-b54c01,Company_354,DevTools,US,2024-09-29,Enterprise,0
A-d82ef9,Company_355,EdTech,UK,2024-07-02,Basic,0
A-bb2f49,Company_356,Cybersecurity,US,2023-05-28,Pro,0
A-1f559b,Company_357,HealthTech,US,2023-09-04,Enterprise,0
A-5a215a,Company_358,EdTech,FR,2024-01-05,Enterprise,0
A-3f9cc0,Company_359,HealthTech,US,2024-06-03,Basic,0
A-f9cc74,Company_360,DevTools,FR,2024-10-12,Enterprise,0
A-ed510f,Company_361,Cybersecurity,IN,2023-01-17,Basic,0
A-5c9849,Company_362,EdTech,IN,2024-11-03,Basic,0
A-a7bd4b,Company_363,Cybersecurity,US,2023-02-15,Enterprise,0
A-d4ac0e,Company_364,DevTools,UK,2024-04-20,Basic,0
A-ffdfd5,Company_365,EdTech,US,2024-04-13,Basic,0
A-0dbdc6,Company_366,Cybersecurity,DE,2023-02-12,Pro,0
A-7cfe77,Company_367,DevTools,US,2024-07-10,Pro,0
A-1f0636,Company_368,EdTech,AU,2024-01-01,Pro,0
A-40de06,Company_369,Cybersecurity,US,2023-05-08,Enterprise,0
A-cb5333,Company_370,DevTools,US,2024-03-26,Pro,0
A-309e54,Company_371,DevTools,US,2024-12-09,Pro,0
A-6e7827,Company_372,DevTools,US,2023-03-26,Basic,0
A-50bb9f,Company_373,Cybersecurity,US,2024-07-12,Pro,0
A-5fe118,Company_374,Cybersecurity,US,2024-11-07,Enterprise,0
A-5247b3,Company_375,FinTech,UK,2024-03-12,Pro,0
A-f44180,Company_376,Cybersecurity,UK,2023-02-13,Pro,0
A-c16cf7,Company_377,EdTech,US,2024-10-16,Pro,0
A-d42431,Company_378,FinTech,FR,2024-06-09,Enterprise,0
A-6965e1,Company_379,DevTools,US,2024-11-25,Basic,0
A-0354fe,Company_380,Cybersecurity,US,2024-10-22,Basic,0
A-0a62f5,Company_381,FinTech,UK,2024-09-11,Pro,0
A-f5641b,Company_382,EdTech,US,2024-03-30,Pro,0
A-b44e3e,Company_383,Cybersecurity,UK,2024-02-12,Basic,0
A-3b37d9,Company_384,FinTech,US,2023-01-27,Enterprise,0
A-54d94a,Company_385,Cybersecurity,IN,2023-05-01,Basic,0
A-7f29a7,Company_386,Cybersecurity,UK,2024-09-18,Basic,0
A-089363,Company_387,FinTech,AU,2023-05-06,Basic,0
A-524364,Company_388,DevTools,FR,2024-12-31,Enterprise,0
A-855a48,Company_389,EdTech,US,2023-12-22,Pro,0
A-756192,Company_390,FinTech,IN,2023-06-11,Basic,0
A-49b828,Company_391,FinTech,IN,2023-05-05,Pro,0
A-c7ffc2,Company_392,Cybersecurity,US,2023-01-27,Pro,0
A-751c58,Company_393,FinTech,UK,2024-07-18,Basic,0
A-72799b,Company_394,DevTools,FR,2023-11-13,Enterprise,0
A-812c5b,Company_395,DevTools,CA,2024-02-25,Basic,0
A-69b156,Company_396,EdTech,US,2023-11-21,Pro,0
A-075038,Company_397,HealthTech,UK,2023-05-12,Basic,0
A-940b8b,Company_398,HealthTech,DE,2024-03-19,Basic,0
A-2d1036,Company_399,FinTech,US,2024-06-14,Pro,0
A-0f6450,Company_400,FinTech,US,2024-12-27,Pro,0
A-9affe6,Company_401,Cybersecurity,US,2023-03-22,Pro,0
A-80eeb6,Company_402,Cybersecurity,UK,2023-05-09,Enterprise,0
A-d4e0d4,Company_403,FinTech,US,2024-10-18,Basic,0
A-c7e58b,Company_404,HealthTech,IN,2023-06-25,Pro,0
A-016043,Company_405,EdTech,CA,2024-07-31,Basic,0
A-bbe56f,Company_406,HealthTech,US,2023-02-16,Enterprise,0
A-7c5768,Company_407,HealthTech,UK,2024-03-02,Enterprise,0
A-751bd4,Company_408,Cybersecurity,UK,2024-07-12,Pro,0
A-4e0e85,Company_409,DevTools,US,2023-09-08,Enterprise,0
